,Open Price,High Price,Low Price,Last Price,Intra day range ,overnight,Volume,Volatility 30 Day,Price Change 1 Day Percent
Dates,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST,Intra day range ,overnight,PX_VOLUME,VOLATILITY_30D,CHG_PCT_1D
2/15/1928,17.4,17.4,17.4,17.4,0,0,#N/A N/A,11.61,-0.57
2/16/1928,17.35,17.35,17.35,17.35,0,0,#N/A N/A,11.27,-0.23
2/17/1928,17.04,17.04,17.04,17.04,0,0,#N/A N/A,11.1,-0.29
2/20/1928,16.95,16.95,16.95,16.95,0,0,#N/A N/A,12.05,-1.79
2/21/1928,17.11,17.11,17.11,17.11,0,0,#N/A N/A,11.95,-0.53
2/23/1928,17.13,17.13,17.13,17.13,0,0,#N/A N/A,12.36,0.94
2/24/1928,17.18,17.18,17.18,17.18,0,0,#N/A N/A,12.36,#N/A N/A
2/27/1928,17.11,17.11,17.11,17.11,0,0,#N/A N/A,12.17,0.12
2/28/1928,17.16,17.16,17.16,17.16,0,0,#N/A N/A,11.12,0.29
2/29/1928,17.26,17.26,17.26,17.26,0,0,#N/A N/A,11.18,-0.41
3/1/1928,17.3,17.3,17.3,17.3,0,0,#N/A N/A,11.21,0.29
3/2/1928,17.3,17.3,17.3,17.3,0,0,#N/A N/A,11.15,0.58
3/5/1928,17.57,17.57,17.57,17.57,0,0,#N/A N/A,11.01,0.23
3/6/1928,17.67,17.67,17.67,17.67,0,0,#N/A N/A,10.58,0
3/7/1928,17.58,17.58,17.58,17.58,0,0,#N/A N/A,11.64,1.56
3/8/1928,17.64,17.64,17.64,17.64,0,0,#N/A N/A,11.27,0.57
3/9/1928,17.93,17.93,17.93,17.93,0,0,#N/A N/A,11.23,-0.51
3/12/1928,18,18,18,18,0,0,#N/A N/A,11.23,0.34
3/13/1928,17.92,17.92,17.92,17.92,0,0,#N/A N/A,11.72,1.64
3/14/1928,17.93,17.93,17.93,17.93,0,0,#N/A N/A,11.7,0.39
3/15/1928,18.07,18.07,18.07,18.07,0,0,#N/A N/A,11.78,-0.44
3/16/1928,18.26,18.26,18.26,18.26,0,0,#N/A N/A,11.68,0.06
3/19/1928,18.36,18.36,18.36,18.36,0,0,#N/A N/A,11,0.78
3/20/1928,18.46,18.46,18.46,18.46,0,0,#N/A N/A,11.34,1.05
3/21/1928,18.65,18.65,18.65,18.65,0,0,#N/A N/A,11.38,0.55
3/22/1928,18.6,18.6,18.6,18.6,0,0,#N/A N/A,11.43,0.54
3/23/1928,18.78,18.78,18.78,18.78,0,0,#N/A N/A,11.71,1.03
3/26/1928,19.05,19.05,19.05,19.05,0,0,#N/A N/A,11.77,-0.27
3/27/1928,18.94,18.94,18.94,18.94,0,0,#N/A N/A,11.71,0.97
3/28/1928,18.89,18.89,18.89,18.89,0,0,#N/A N/A,12.02,1.44
3/29/1928,18.95,18.95,18.95,18.95,0,0,#N/A N/A,12.21,-0.58
3/30/1928,19.28,19.28,19.28,19.28,0,0,#N/A N/A,12.2,-0.26
4/2/1928,18.91,18.91,18.91,18.91,0,0,#N/A N/A,10.23,0.32
4/3/1928,19.02,19.02,19.02,19.02,0,0,#N/A N/A,10.6,1.74
4/4/1928,18.99,18.99,18.99,18.99,0,0,#N/A N/A,12.76,-1.92
4/5/1928,19.23,19.23,19.23,19.23,0,0,#N/A N/A,12.75,0.58
4/9/1928,19.27,19.27,19.27,19.27,0,0,#N/A N/A,12.62,-0.16
4/10/1928,19.1,19.1,19.1,19.1,0,0,#N/A N/A,12.9,1.26
4/11/1928,19.44,19.44,19.44,19.44,0,0,#N/A N/A,12.9,#N/A N/A
4/12/1928,19.41,19.41,19.41,19.41,0,0,#N/A N/A,12.91,0.21
4/13/1928,19.73,19.73,19.73,19.73,0,0,#N/A N/A,13.49,-0.88
4/16/1928,19.68,19.68,19.68,19.68,0,0,#N/A N/A,14.14,1.78
4/17/1928,19.52,19.52,19.52,19.52,0,0,#N/A N/A,14.19,-0.15
4/18/1928,19.52,19.52,19.52,19.52,0,0,#N/A N/A,14.26,1.65
4/19/1928,19.63,19.63,19.63,19.63,0,0,#N/A N/A,14.39,-0.25
4/20/1928,19.34,19.34,19.34,19.34,0,0,#N/A N/A,14.6,-0.81
4/23/1928,19.15,19.15,19.15,19.15,0,0,#N/A N/A,14.65,0
4/24/1928,19.25,19.25,19.25,19.25,0,0,#N/A N/A,14.11,0.56
4/25/1928,19.33,19.33,19.33,19.33,0,0,#N/A N/A,15.14,-1.48
4/26/1928,19.47,19.47,19.47,19.47,0,0,#N/A N/A,15.47,-0.98
4/27/1928,19.68,19.68,19.68,19.68,0,0,#N/A N/A,15.49,0.52
4/30/1928,19.75,19.75,19.75,19.75,0,0,#N/A N/A,15.41,0.42
5/1/1928,19.78,19.78,19.78,19.78,0,0,#N/A N/A,15.27,0.72
5/2/1928,19.83,19.83,19.83,19.83,0,0,#N/A N/A,15.46,1.08
5/3/1928,19.93,19.93,19.93,19.93,0,0,#N/A N/A,15.44,0.36
5/4/1928,20.24,20.24,20.24,20.24,0,0,#N/A N/A,15.24,0.15
5/7/1928,20.41,20.41,20.41,20.41,0,0,#N/A N/A,15.17,0.25
5/8/1928,20.27,20.27,20.27,20.27,0,0,#N/A N/A,15.02,0.5
5/9/1928,20.24,20.24,20.24,20.24,0,0,#N/A N/A,15.11,1.56
5/10/1928,20.21,20.21,20.21,20.21,0,0,#N/A N/A,15.01,0.84
5/11/1928,20.36,20.36,20.36,20.36,0,0,#N/A N/A,15.21,-0.69
5/14/1928,20.44,20.44,20.44,20.44,0,0,#N/A N/A,15.25,-0.15
5/15/1928,20.39,20.39,20.39,20.39,0,0,#N/A N/A,14.54,-0.15
5/16/1928,20.05,20.05,20.05,20.05,0,0,#N/A N/A,13.02,0.74
5/17/1928,20.12,20.12,20.12,20.12,0,0,#N/A N/A,12.98,0.39
5/18/1928,19.92,19.92,19.92,19.92,0,0,#N/A N/A,13.01,-0.24
5/21/1928,19.63,19.63,19.63,19.63,0,0,#N/A N/A,13.89,-1.67
5/22/1928,19.36,19.36,19.36,19.36,0,0,#N/A N/A,13.9,0.35
5/23/1928,19.75,19.75,19.75,19.75,0,0,#N/A N/A,14.08,-0.99
5/24/1928,19.87,19.87,19.87,19.87,0,0,#N/A N/A,14.56,-1.46
5/25/1928,19.9,19.9,19.9,19.9,0,0,#N/A N/A,14.26,-1.38
5/28/1928,19.57,19.57,19.57,19.57,0,0,#N/A N/A,15.46,2.01
5/29/1928,19.82,19.82,19.82,19.82,0,0,#N/A N/A,14.78,0.61
5/31/1928,20,20,20,20,0,0,#N/A N/A,14.76,0.15
